rle,xup,yup,yxxup,xlo,ylo,yxxlo,alpha_te,beta_te,CL,CD,CM
0.0065225,0.4846425,0.074300625,-0.395315625,0.40476375,-0.048960625,0.773171875,-0.09500625,0.16768625,0.95414165,0.0202179,0.182421661
0.00654375,0.41560125,0.061524063,-0.372764063,0.319966875,-0.050249063,0.678182188,-0.103803125,0.147625625,0.852938958,0.01045963,0.13580245
0.00790375,0.50224125,0.074104063,-0.457664063,0.392326875,-0.062029063,0.819562188,-0.126323125,0.180545625,0.934741497,0.016828683,0.181491636
0.00858375,0.37228125,0.067814063,-0.415214063,0.428506875,-0.056139063,0.748872188,-0.092543125,0.164085625,0.772587327,0.015996607,0.10609944
0.00722375,0.45892125,0.055234063,-0.500114063,0.356146875,-0.067919063,0.607492188,-0.115063125,0.197005625,0.595985217,0.004317307,0.075560545
0.00756375,0.35062125,0.070959063,-0.351539063,0.410416875,-0.064974063,0.642837188,-0.131953125,0.139395625,0.879192297,0.024755407,0.149516363
0.00892375,0.43726125,0.058379063,-0.436439063,0.338056875,-0.053194063,0.784217188,-0.109433125,0.172315625,0.848101395,0.00492385,0.119675856
0.00824375,0.39394125,0.052089063,-0.393989063,0.301876875,-0.059084063,0.713527188,-0.120693125,0.155855625,0.717889751,0.004467812,0.088959208
0.00688375,0.48058125,0.064669063,-0.478889063,0.374236875,-0.047304063,0.572147188,-0.098173125,0.188775625,0.839397501,0.009401211,0.140388209
0.00705375,0.38311125,0.053661563,-0.425826563,0.383281875,-0.048776563,0.695854688,-0.123508125,0.135280625,0.772249721,0.005655018,0.097856518
0.00841375,0.46975125,0.066241563,-0.340926563,0.310921875,-0.060556563,0.837234688,-0.100988125,0.168200625,0.900703247,0.009731936,0.154406064
0.00909375,0.42643125,0.072531563,-0.468276563,0.347101875,-0.054666563,0.766544688,-0.134768125,0.151740625,0.97414979,0.025724795,0.190275942
0.00773375,0.51307125,0.059951563,-0.383376563,0.419461875,-0.066446563,0.625164688,-0.112248125,0.184660625,0.697208583,0.003607248,0.093610628
0.00739375,0.40477125,0.063096563,-0.447051563,0.329011875,-0.069391563,0.660509688,-0.095358125,0.143510625,0.6252632,0.005950443,0.079872235
0.00875375,0.49141125,0.050516563,-0.362151563,0.401371875,-0.057611563,0.801889688,-0.117878125,0.176430625,0.715910756,0.007572488,0.090012111
0.00807375,0.36145125,0.056806563,-0.489501563,0.365191875,-0.063501563,0.731199688,-0.106618125,0.159970625,0.640378803,0.006102239,0.071556441
0.00671375,0.44809125,0.069386563,-0.404601563,0.292831875,-0.051721563,0.589819688,-0.129138125,0.192890625,0.941720483,0.018125466,0.179231845
0.00679875,0.36686625,0.067027813,-0.399295313,0.360669375,-0.058347813,0.828398438,-0.116470625,0.194948125,0.884017228,0.021615118,0.152171168
0.00815875,0.45350625,0.054447813,-0.484195313,0.433029375,-0.070127813,0.687018438,-0.093950625,0.162028125,0.50599517,0.003180061,0.044033324
0.00883875,0.41018625,0.060737813,-0.356845313,0.396849375,-0.052457813,0.616328438,-0.127730625,0.178488125,0.837594506,0.00883645,0.117993457
0.00747875,0.49682625,0.073317813,-0.441745313,0.324489375,-0.064237813,0.757708438,-0.105210625,0.145568125,0.887128439,0.01438815,0.169636783
0.00781875,0.43184625,0.051302813,-0.420520313,0.378759375,-0.061292813,0.793053438,-0.099580625,0.186718125,0.632432296,0.003657935,0.071236222
0.00917875,0.51848625,0.063882813,-0.505420313,0.306399375,-0.049512813,0.651673438,-0.122100625,0.153798125,1.012006578,0.006379495,0.168174153
0.00849875,0.38852625,0.070172813,-0.378070313,0.342579375,-0.067182813,0.580983438,-0.110840625,0.170258125,0.770190043,0.016512971,0.121198907
0.00713875,0.47516625,0.057592813,-0.462970313,0.414939375,-0.055402813,0.722363438,-0.133360625,0.137338125,0.786222487,0.005540553,0.112738724
0.00696875,0.39935625,0.074890313,-0.494807813,0.423984375,-0.053930313,0.846070938,-0.108025625,0.182603125,0.886037218,0.027500241,0.15926627
0.00832875,0.48599625,0.062310313,-0.409907813,0.351624375,-0.065710313,0.704690938,-0.130545625,0.149683125,0.829839381,0.003407954,0.124465559
0.00900875,0.35603625,0.056020313,-0.452357813,0.315444375,-0.048040313,0.634000938,-0.096765625,0.166143125,0.758813539,0.009154883,0.095775865
0.00764875,0.44267625,0.068600313,-0.367457813,0.387804375,-0.059820313,0.775380938,-0.119285625,0.133223125,0.883756917,0.014453678,0.151699611
0.00730875,0.37769625,0.059165313,-0.473582813,0.297354375,-0.062765313,0.810725938,-0.124915625,0.190833125,0.742592493,0.009581289,0.10898841
0.00866875,0.46433625,0.071745313,-0.388682813,0.369714375,-0.050985313,0.669345938,-0.102395625,0.157913125,0.945043276,0.017330497,0.171315229
0.00798875,0.42101625,0.065455313,-0.431132813,0.405894375,-0.068655313,0.598655938,-0.113655625,0.174373125,0.680848534,0.00678836,0.089906583
0.00662875,0.50765625,0.052875313,-0.346232813,0.333534375,-0.056875313,0.740035938,-0.091135625,0.141453125,0.720209575,0.004582797,0.101402993
0.00658625,0.36957375,0.073710938,-0.449704688,0.362930625,-0.059452188,0.603074063,-0.129841875,0.175401875,0.891601033,0.028837635,0.164716928
0.00794625,0.45621375,0.061130938,-0.364804688,0.290570625,-0.047672188,0.744454063,-0.107321875,0.142481875,0.955745737,0.00877635,0.157752375
0.00862625,0.41289375,0.054840938,-0.492154688,0.326750625,-0.065342188,0.815144063,-0.118581875,0.191861875,0.695289889,0.002681868,0.085740307
0.00726625,0.49953375,0.067420938,-0.407254688,0.399110625,-0.053562188,0.673764063,-0.096061875,0.158941875,0.882942578,0.00712659,0.143467245
0.00760625,0.39123375,0.057985938,-0.428479688,0.344840625,-0.056507188,0.567729063,-0.101691875,0.167171875,0.695706268,0.00521198,0.085943293
0.00896625,0.47787375,0.070565938,-0.343579688,0.417200625,-0.068287188,0.709109063,-0.124211875,0.134251875,0.850958269,0.010581652,0.138572533
0.00828625,0.34791375,0.064275938,-0.470929688,0.381020625,-0.050617188,0.779799063,-0.090431875,0.183631875,0.799004293,0.018010471,0.113895854
0.00692625,0.43455375,0.051695938,-0.386029688,0.308660625,-0.062397188,0.638419063,-0.112951875,0.150711875,0.623972003,0.00291773,0.075179026
0.00709625,0.42372375,0.068993438,-0.354192188,0.299615625,-0.063869688,0.620746563,-0.093246875,0.171286875,0.734526212,0.010589939,0.112142506
0.00845625,0.51036375,0.056413438,-0.439092188,0.371975625,-0.052089688,0.762126563,-0.115766875,0.138366875,0.84589654,0.006822456,0.123170067
0.00913625,0.38040375,0.062703438,-0.396642188,0.408155625,-0.069759688,0.832816563,-0.104506875,0.187746875,0.667033229,0.008156143,0.078760613
0.00777625,0.46704375,0.075283438,-0.481542188,0.335795625,-0.057979688,0.691436563,-0.127026875,0.154826875,0.937483571,0.023776068,0.191955192
0.00743625,0.35874375,0.053268438,-0.375417188,0.426245625,-0.055034688,0.585401563,-0.121396875,0.179516875,0.671289926,0.005714672,0.071483321
0.00879625,0.44538375,0.065848438,-0.460317188,0.353885625,-0.066814688,0.726781563,-0.098876875,0.146596875,0.737938103,0.005850985,0.107484448
0.00811625,0.40206375,0.072138438,-0.417867188,0.317705625,-0.049144688,0.797471563,-0.132656875,0.195976875,1.060920132,0.03313736,0.219853051
0.00675625,0.48870375,0.059558438,-0.502767188,0.390065625,-0.060924688,0.656091563,-0.110136875,0.163056875,0.703158875,0.005667839,0.104540761
0.00667125,0.40747875,0.055627188,-0.476235938,0.403633125,-0.067550938,0.753290313,-0.100284375,0.156884375,0.571471664,0.002843319,0.060038151
0.00803125,0.49411875,0.068207188,-0.391335938,0.331273125,-0.055770938,0.611910313,-0.122804375,0.189804375,0.949046573,0.010616197,0.170041987
0.00871125,0.36415875,0.074497188,-0.433785938,0.295093125,-0.061660938,0.682600313,-0.111544375,0.140424375,0.859696765,0.028013886,0.154792877
0.00735125,0.45079875,0.061917188,-0.348885938,0.367453125,-0.049880938,0.823980313,-0.134064375,0.173344375,0.975859015,0.010779663,0.165525548
0.00769125,0.38581875,0.065062188,-0.497460938,0.313183125,-0.052825938,0.717945313,-0.117174375,0.148654375,0.859939938,0.018185745,0.144148337
0.00905125,0.47245875,0.052482188,-0.412560938,0.385543125,-0.064605938,0.576565313,-0.094654375,0.181574375,0.575782522,0.005187998,0.060949149
0.00837125,0.42913875,0.058772188,-0.455010938,0.421723125,-0.058715938,0.647255313,-0.128434375,0.132194375,0.734499039,0.002984294,0.088607192
0.00701125,0.51577875,0.071352188,-0.370110938,0.349363125,-0.070495938,0.788635313,-0.105914375,0.165114375,0.866770559,0.009934064,0.156847077
0.00684125,0.35332875,0.060344688,-0.423173438,0.340318125,-0.069023438,0.770962813,-0.125619375,0.152769375,0.703670646,0.012417923,0.099724115
0.00820125,0.43996875,0.072924688,-0.508073438,0.412678125,-0.057243438,0.629582813,-0.103099375,0.185689375,0.813561067,0.016952056,0.137544403
0.00888125,0.39664875,0.066634688,-0.380723438,0.376498125,-0.063133438,0.700272813,-0.114359375,0.136309375,0.793356871,0.013524014,0.119482653
0.00752125,0.48328875,0.054054688,-0.465623438,0.304138125,-0.051353438,0.841652813,-0.091839375,0.169229375,0.801335525,0.006398713,0.119220103
0.00718125,0.41830875,0.069779688,-0.401948438,0.394588125,-0.048408438,0.735617813,-0.108729375,0.160999375,0.924117377,0.020367781,0.163096685
0.00854125,0.50494875,0.057199688,-0.486848438,0.322228125,-0.060188438,0.594237813,-0.131249375,0.193919375,0.761906373,0.007778675,0.114619645
0.00786125,0.37498875,0.050909688,-0.359498438,0.358408125,-0.054298438,0.664927813,-0.097469375,0.144539375,0.66652104,0.004138437,0.072182157
0.00650125,0.46162875,0.063489688,-0.444398438,0.430768125,-0.066078438,0.806307813,-0.119989375,0.177459375,0.733856032,0.005915272,0.108621038
0.006511875,0.404094375,0.070074531,-0.349549219,0.356712188,-0.060832656,0.696959219,-0.113127813,0.179774063,0.865631142,0.019362233,0.153075807
0.007871875,0.490734375,0.057494531,-0.434449219,0.429072188,-0.049052656,0.838339219,-0.090607813,0.146854063,0.77133403,0.004743323,0.102100893
0.008551875,0.360774375,0.051204531,-0.391999219,0.392892188,-0.066722656,0.767649219,-0.124387813,0.196234063,0.625454714,0.004469768,0.062765353
0.007191875,0.447414375,0.063784531,-0.476899219,0.320532188,-0.054942656,0.626269219,-0.101867813,0.163314063,0.790297197,0.007896171,0.12538184
0.007531875,0.382434375,0.060639531,-0.370774219,0.374802188,-0.057887656,0.661614219,-0.096237813,0.171544063,0.724610765,0.008774355,0.094533337
0.008891875,0.469074375,0.073219531,-0.455674219,0.302442188,-0.069667656,0.802994219,-0.118757813,0.138624063,0.848611221,0.014807213,0.158972956
0.008211875,0.425754375,0.066929531,-0.413224219,0.338622188,-0.051997656,0.732304219,-0.107497813,0.188004063,0.90860747,0.015214207,0.156747368
0.006851875,0.512394375,0.054349531,-0.498124219,0.410982188,-0.063777656,0.590924219,-0.130017813,0.155084063,0.648986132,0.006705543,0.089258463
0.007021875,0.349944375,0.065357031,-0.466286719,0.420027188,-0.062305156,0.679286719,-0.110312813,0.167429063,0.712555294,0.015915755,0.093591408
0.008381875,0.436584375,0.052777031,-0.381386719,0.347667188,-0.050525156,0.820666719,-0.132832813,0.134509063,0.877205234,0.006440996,0.123045658
0.009061875,0.393264375,0.059067031,-0.508736719,0.311487188,-0.068195156,0.749976719,-0.099052813,0.183889063,0.620606537,0.003234047,0.071019952
0.007701875,0.479904375,0.071647031,-0.423836719,0.383847188,-0.056415156,0.608596719,-0.121572813,0.150969063,0.911704458,0.014938256,0.166482799
0.007361875,0.414924375,0.055922031,-0.445061719,0.293397188,-0.053470156,0.643941719,-0.127202813,0.175659063,0.789907471,0.004142358,0.109137266
0.008721875,0.501564375,0.068502031,-0.360161719,0.365757188,-0.065250156,0.785321719,-0.104682813,0.142739063,0.884854858,0.008383872,0.147773986
0.008041875,0.371604375,0.074792031,-0.487511719,0.401937188,-0.047580156,0.714631719,-0.115942813,0.192119063,0.950178993,0.03284016,0.174919851
0.006681875,0.458244375,0.062212031,-0.402611719,0.329577188,-0.059360156,0.573251719,-0.093422813,0.159199063,0.72642071,0.003625842,0.103863813
0.006766875,0.377019375,0.051990781,-0.407917969,0.325054688,-0.065986406,0.847175469,-0.106090313,0.161256563,0.633364444,0.003060115,0.075300671
